GeoFips,GeoName,LineCode,Description,2024
0,United States,,Current dollar statistics (millions of dollars),
0,United States,4.0,  Gross domestic product (GDP),29298013.0
0,United States,5.0,  Personal income,24897613.0
0,United States,6.0,  Disposable personal income,21912002.0
1000,Alabama,,Current dollar statistics (millions of dollars),
1000,Alabama,4.0,  Gross domestic product (GDP),325345.1
1000,Alabama,5.0,  Personal income,295590.5
1000,Alabama,6.0,  Disposable personal income,268183.1
2000,Alaska,,Current dollar statistics (millions of dollars),
2000,Alaska,4.0,  Gross domestic product (GDP),71567.2
2000,Alaska,5.0,  Personal income,56423.1
2000,Alaska,6.0,  Disposable personal income,51952.3
4000,Arizona,,Current dollar statistics (millions of dollars),
4000,Arizona,4.0,  Gross domestic product (GDP),570088.6
4000,Arizona,5.0,  Personal income,498903.6
4000,Arizona,6.0,  Disposable personal income,449934.1
5000,Arkansas,,Current dollar statistics (millions of dollars),
5000,Arkansas,4.0,  Gross domestic product (GDP),188339.6
5000,Arkansas,5.0,  Personal income,183201.8
5000,Arkansas,6.0,  Disposable personal income,167194.3
6000,California,,Current dollar statistics (millions of dollars),
6000,California,4.0,  Gross domestic product (GDP),4048108.1
6000,California,5.0,  Personal income,3400237.3
6000,California,6.0,  Disposable personal income,2905441.4
8000,Colorado,,Current dollar statistics (millions of dollars),
8000,Colorado,4.0,  Gross domestic product (GDP),557633.0
8000,Colorado,5.0,  Personal income,494798.6
8000,Colorado,6.0,  Disposable personal income,437952.8
9000,Connecticut,,Current dollar statistics (millions of dollars),
9000,Connecticut,4.0,  Gross domestic product (GDP),356834.9
9000,Connecticut,5.0,  Personal income,349377.1
9000,Connecticut,6.0,  Disposable personal income,296556.5
10000,Delaware,,Current dollar statistics (millions of dollars),
10000,Delaware,4.0,  Gross domestic product (GDP),110971.8
10000,Delaware,5.0,  Personal income,71594.2
10000,Delaware,6.0,  Disposable personal income,62747.2
11000,District of Columbia,,Current dollar statistics (millions of dollars),
11000,District of Columbia,4.0,  Gross domestic product (GDP),184297.7
11000,District of Columbia,5.0,  Personal income,78079.5
11000,District of Columbia,6.0,  Disposable personal income,64863.1
12000,Florida,,Current dollar statistics (millions of dollars),
12000,Florida,4.0,  Gross domestic product (GDP),1726709.9
12000,Florida,5.0,  Personal income,1706305.7
12000,Florida,6.0,  Disposable personal income,1499728.9
13000,Georgia,,Current dollar statistics (millions of dollars),
13000,Georgia,4.0,  Gross domestic product (GDP),881508.2
13000,Georgia,5.0,  Personal income,704463.9
13000,Georgia,6.0,  Disposable personal income,624579.5
15000,Hawaii,,Current dollar statistics (millions of dollars),
15000,Hawaii,4.0,  Gross domestic product (GDP),117627.4
15000,Hawaii,5.0,  Personal income,102703.8
15000,Hawaii,6.0,  Disposable personal income,90788.7
16000,Idaho,,Current dollar statistics (millions of dollars),
16000,Idaho,4.0,  Gross domestic product (GDP),129018.2
16000,Idaho,5.0,  Personal income,124746.7
16000,Idaho,6.0,  Disposable personal income,111504.1
17000,Illinois,,Current dollar statistics (millions of dollars),
17000,Illinois,4.0,  Gross domestic product (GDP),1148106.1
17000,Illinois,5.0,  Personal income,947182.8
17000,Illinois,6.0,  Disposable personal income,825671.0
18000,Indiana,,Current dollar statistics (millions of dollars),
18000,Indiana,4.0,  Gross domestic product (GDP),519516.5
18000,Indiana,5.0,  Personal income,443688.8
18000,Indiana,6.0,  Disposable personal income,399783.1
19000,Iowa,,Current dollar statistics (millions of dollars),
19000,Iowa,4.0,  Gross domestic product (GDP),265794.5
19000,Iowa,5.0,  Personal income,211425.4
19000,Iowa,6.0,  Disposable personal income,190377.7
20000,Kansas,,Current dollar statistics (millions of dollars),
20000,Kansas,4.0,  Gross domestic product (GDP),230522.1
20000,Kansas,5.0,  Personal income,195633.0
20000,Kansas,6.0,  Disposable personal income,174484.5
21000,Kentucky,,Current dollar statistics (millions of dollars),
21000,Kentucky,4.0,  Gross domestic product (GDP),295375.3
21000,Kentucky,5.0,  Personal income,267297.9
21000,Kentucky,6.0,  Disposable personal income,241684.7
22000,Louisiana,,Current dollar statistics (millions of dollars),
22000,Louisiana,4.0,  Gross domestic product (GDP),329172.8
22000,Louisiana,5.0,  Personal income,284587.2
22000,Louisiana,6.0,  Disposable personal income,259628.6
23000,Maine,,Current dollar statistics (millions of dollars),
23000,Maine,4.0,  Gross domestic product (GDP),99174.1
23000,Maine,5.0,  Personal income,96850.3
23000,Maine,6.0,  Disposable personal income,86751.4
24000,Maryland,,Current dollar statistics (millions of dollars),
24000,Maryland,4.0,  Gross domestic product (GDP),546028.4
24000,Maryland,5.0,  Personal income,496413.9
24000,Maryland,6.0,  Disposable personal income,429113.3
25000,Massachusetts,,Current dollar statistics (millions of dollars),
25000,Massachusetts,4.0,  Gross domestic product (GDP),778523.4
25000,Massachusetts,5.0,  Personal income,667993.0
25000,Massachusetts,6.0,  Disposable personal income,565818.0
26000,Michigan,,Current dollar statistics (millions of dollars),
26000,Michigan,4.0,  Gross domestic product (GDP),702466.9
26000,Michigan,5.0,  Personal income,645846.8
26000,Michigan,6.0,  Disposable personal income,577848.3
27000,Minnesota,,Current dollar statistics (millions of dollars),
27000,Minnesota,4.0,  Gross domestic product (GDP),507687.8
27000,Minnesota,5.0,  Personal income,437981.9
27000,Minnesota,6.0,  Disposable personal income,383104.4
28000,Mississippi,,Current dollar statistics (millions of dollars),
28000,Mississippi,4.0,  Gross domestic product (GDP),158192.4
28000,Mississippi,5.0,  Personal income,153256.4
28000,Mississippi,6.0,  Disposable personal income,140770.0
29000,Missouri,,Current dollar statistics (millions of dollars),
29000,Missouri,4.0,  Gross domestic product (GDP),448713.7
29000,Missouri,5.0,  Personal income,405457.2
29000,Missouri,6.0,  Disposable personal income,363950.5
30000,Montana,,Current dollar statistics (millions of dollars),
30000,Montana,4.0,  Gross domestic product (GDP),78441.0
30000,Montana,5.0,  Personal income,78741.6
30000,Montana,6.0,  Disposable personal income,69095.9
31000,Nebraska,,Current dollar statistics (millions of dollars),
31000,Nebraska,4.0,  Gross domestic product (GDP),189242.7
31000,Nebraska,5.0,  Personal income,145798.5
31000,Nebraska,6.0,  Disposable personal income,131426.8
32000,Nevada,,Current dollar statistics (millions of dollars),
32000,Nevada,4.0,  Gross domestic product (GDP),269010.5
32000,Nevada,5.0,  Personal income,228086.6
32000,Nevada,6.0,  Disposable personal income,203004.9
33000,New Hampshire,,Current dollar statistics (millions of dollars),
33000,New Hampshire,4.0,  Gross domestic product (GDP),119336.6
33000,New Hampshire,5.0,  Personal income,117220.3
